GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P
ENSG00000131591,1,1017198,1051741,39,2,65967,-0.12844,0.5511
ENSG00000162571,1,1109264,1133315,61,4,65967,-0.87414,0.80898
ENSG00000186827,1,1146706,1149518,3,1,65967,-1.2538,0.89504
ENSG00000078808,1,1152288,1167411,72,2,65967,-0.10862,0.54325
ENSG00000184163,1,1177826,1182102,7,1,65967,0.97944,0.16368
ENSG00000160087,1,1189289,1209265,27,2,65967,-0.74318,0.77131
ENSG00000162572,1,1215816,1227409,3,1,65967,-0.35232,0.6377
ENSG00000162576,1,1288069,1297157,8,1,65967,0.23167,0.4084
ENSG00000197785,1,1447531,1470067,8,1,65967,0.57525,0.28256
ENSG00000205090,1,1470554,1475833,4,1,65967,1.2198,0.11126
ENSG00000160075,1,1477053,1510249,43,2,65967,1.2205,0.11115
ENSG00000215014,1,1510355,1511373,2,1,65967,1.3422,0.089765
ENSG00000008130,1,1682671,1711896,39,4,65967,-0.24874,0.59822
ENSG00000078369,1,1716729,1822495,90,8,65967,0.95739,0.16918
ENSG00000169885,1,1846266,1848735,9,2,65967,0.56369,0.28648
ENSG00000178821,1,1849029,1850712,5,2,65967,0.50591,0.30646
ENSG00000142609,1,1853396,1935276,49,5,65967,1.02,0.15388
ENSG00000067606,1,1981909,2116834,173,10,65967,2.4666,0.0068207
ENSG00000162585,1,2115903,2144159,23,3,65967,2.6209,0.0043845
ENSG00000157933,1,2160134,2241558,109,13,65967,1.7754,0.037914
ENSG00000116151,1,2252692,2323146,158,22,65967,-0.40287,0.65648
ENSG00000157916,1,2323267,2336883,19,4,65967,1.589,0.056032
ENSG00000157911,1,2336236,2345236,7,2,65967,1.1421,0.1267
ENSG00000149527,1,2357419,2436969,26,5,65967,0.98518,0.16227
ENSG00000157881,1,2439972,2458039,26,2,65967,0.95038,0.17096
ENSG00000197921,1,2460184,2461684,1,1,65967,1.5057,0.06607
ENSG00000157873,1,2487078,2496821,14,2,65967,2.1185,0.017067
ENSG00000157870,1,2517930,2522908,4,1,65967,2.6293,0.004278
ENSG00000142606,1,2522078,2564481,108,3,65967,3.1236,0.00089339
ENSG00000215912,1,2567415,2718286,40,4,65967,3.1713,0.0007588
ENSG00000169717,1,2938046,2939465,2,1,65967,0.061214,0.47559
ENSG00000142611,1,2985732,3355185,636,74,65967,1.9297,0.02682
ENSG00000130762,1,3370990,3397677,58,5,65967,1.6953,0.045012
ENSG00000162591,1,3406484,3528059,15,4,65967,-0.82093,0.79416
ENSG00000158109,1,3541566,3546691,6,2,65967,0.47775,0.31641
ENSG00000116213,1,3547331,3569325,15,3,65967,0.60684,0.27198
ENSG00000078900,1,3569084,3652765,42,6,65967,0.34304,0.36579
ENSG00000162592,1,3668962,3688209,43,7,65967,-0.55843,0.71172
ENSG00000235169,1,3689352,3692546,9,4,65967,0.42945,0.3338
ENSG00000130764,1,3696784,3713068,56,10,65967,-0.48419,0.68587
ENSG00000116198,1,3728645,3773778,246,12,65967,-0.061106,0.52436
ENSG00000169598,1,3773845,3801993,84,7,65967,-1.0439,0.85173
ENSG00000198912,1,3805689,3816857,30,4,65967,-0.10196,0.5406
ENSG00000196581,1,4714792,4852594,441,63,65967,0.60397,0.27293
